id,skills,rate
1,Hi. Im ali. I can work with html,1
2,Hi. I have good ability to work with html and css.,3
3,I can write with html code and give it style with css. I worked with js.,7
4,I can write js logical code and work with html and familiar with its tags.,5
5,"I'm familiar with html tags and can style with css. I was able to work with js and started working with its framework, react.",10
6,"I have worked with html, css and js for several years and have experience working with angular frameworks.",10
7,I've been working with html and css for about two years and am fluent in js. I also have the ability to do vue and can write different components.,10
8,I've been working with html and css for about two years and am fluent in js. I also have the ability to work with ember and can write different components.,10
9,I am familiar with html tags and have worked with them and have the ability to work with css and bootstrap frameworks.,5
10,Ability to work with js and jquery libraries and familiar with html tags and css styles.,9
11,"I have experience working with html, css and bootstrap frameworks and js.",9
12,html,1
13,css,2
14,js,4
15,react,3
16,angular,3
17,vue,3
18,ember,3
19,bootstrap,2
20,jquery,2
21,I worked with html and css for a few years and created dynamic pages with js,7
22,I just started javascript and hit a few web pages with htlm and css,7
23,javascript,4
24,java script,4
25,"I'm interested in working with js and react, and I also have some control over html and css",10
26,I can write simple web pages with html and css and I worked with bootstrap and I am familiar. I knew javascript and worked with jquery.,11
27,I know how to work with html and css,3
28,"I have made a lot of components with angular, I know the logic of javascript",7
29,I've built a lot of components with ember. I know the logic of javascript,7
30,I've built a lot of components with vue. I know the logic of javascript,7
31,I've built a lot of components with react. I know the logic of javascript,7
32,I have been a web developer for about 2 years. Fluent in html and css. I have the ability to work with js and react and vue frameworks,13
33,I have been a web developer for about 2 years. Fluent in html and css. I have the ability to work with js and angular and vue frameworks,13
34,I have been a web developer for about 2 years. Fluent in html and css. I have the ability to work with js and react and angular frameworks,13
35,I am proficient in css bootstrap framework and I have several projects. I am familiar with js and am interested in working with jquery,11
36,"I can develop web pages and have the ability to master html and css. I've worked with front end frameworks like react and vue, and I can code jquery",11
37,"I can develop web pages and have the ability to master html and css. I've worked with front end frameworks like react and angular, and I can code jquery",11
38,"I can develop web pages and have the ability to master html and css. I've worked with front end frameworks like angular and vue, and I can code jquery",11
39,I only worked with javascript,3
40,I only worked with html,1
41,I only worked with css,2
42,I only worked with bootstrap,2
43,"I have been designing and developing the web for some time now and I am proficient in react and vue frameworks. At first I learned html and css, js and worked a bit with bootstrap",15
44,"I have been designing and developing the web for some time now and I am proficient in react and vue frameworks. At first I learned html and css, js and worked a bit with jquery",15
45,"I have been designing and developing the web for some time now and I am proficient in react and angular frameworks. At first I learned html and css, js and worked a bit with bootstrap",15
46,"I have been designing and developing the web for some time now and I am proficient in angular and vue frameworks. At first I learned html and css, js and worked a bit with bootstrap",15
47,"Hello. I started with html, css. Then I learned javascript and worked with it a bit. I'm interested in react",10
48,"Hello. I started with html, css. Then I learned javascript and worked with it a bit. I'm interested in angular",10
49,"Hello. I started with html, css. Then I learned javascript and worked with it a bit. I'm interested in vue",10
50,"html , css, js, typescript",10
51,typescript,3
52,"angular, typescript",6
